,Close
2022-10-31,153.34
2022-11-30,148.03
2022-12-30,129.93
2023-01-31,144.29
2023-02-28,147.41
2023-03-31,164.9
2023-04-28,169.68
2023-05-31,177.25
2023-06-30,193.97
2023-07-31,196.45
2023-08-31,187.87
2023-09-29,171.21
2023-10-31,170.77
2023-11-30,189.95
2023-12-29,192.53
2024-01-31,184.4
2024-02-29,180.75
2024-03-28,171.48
2024-04-30,170.33
2024-05-31,192.25
2024-06-28,210.62
2024-07-31,222.08
2024-08-30,229.0
2024-09-30,233.0
2024-10-31,225.91
2024-11-29,237.33
2024-12-31,250.42
2025-01-31,236.0
2025-02-28,241.84
2025-03-31,222.13
2025-04-30,212.5
2025-05-30,200.85
2025-06-30,205.17
2025-07-31,207.57
2025-08-29,232.14
2025-09-30,254.63
2025-10-31,270.37
2025-11-28,278.85
2025-12-31,271.86
2026-01-30,259.48
2026-02-27,264.18
2026-03-31,253.79
2026-04-30,271.35
2026-05-18,297.84
